Category,EU Average,EU - Max,EU - Min,Austria,Belgium,Bulgaria,Czech Republic,Germany,Denmark,Estonia,Greece,Spain,Finland,France,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Brazil,Canada,China,India,Japan,South Africa,South Korea,Turkey,USA,Switzerland,Norway
2017-10,43.25,75.19,28.61,30.56,49.61,42.07,30.71,28.61,29.95,33.86,55.6,57.5,33.85,50.31,,50.34,45.79,55.35,34.13,28.61,34.78,75.19,40.38,42.47,57.7,47.81,30.99,51.16,40.94,51.93,127.64,5.86,100.2,52.57,64.71,41.81,56.24,33.54,34.14,28.76,29.02
2017-11,52.26,71.34,32.37,40.62,67.45,42.65,41.23,40.88,34.28,34.13,71.34,59.94,34.1,64.24,,61.23,52.62,66.61,35.31,40.88,36.66,61.62,47.87,41.51,60.12,56.17,32.37,60.59,51.36,57.29,101.66,9.33,100.2,45.72,67.17,42.01,62.91,35.69,29.98,65.83,32.69
2017-12,46.16,66.52,28.81,31.28,55.79,38.87,33.31,31.16,28.81,32.42,56.91,58.68,32.33,57.5,,40.53,56.47,65.93,32.67,31.16,33.48,66.52,47.07,35.05,60.25,37.34,31.02,45.2,33.65,62.88,56.06,13.72,100.2,38.72,82.68,40.64,70.09,31.84,37.3,63.38,31.31
2018-1,38,62.15,29.46,29.46,36.78,37.28,33.08,29.46,31.16,37.11,53.49,49.98,37.08,34.95,37.98,36.28,51.15,49,37.58,29.46,37.62,62.15,38.79,38.62,51.63,33.47,32.39,37.92,33.36,56.34,39.35,20.98,97.34,39.63,92.94,43.34,70.99,32.09,43.62,43.81,32.93
2018-2,46.52,62.64,36.49,40.12,47.35,36.49,40.99,40.12,38.96,43.36,51.62,54.88,43.36,48.7,44.86,41.65,53.54,57,43.48,40.12,43.49,62.64,44.56,45,54.98,38.27,39.85,43.3,41.98,57.92,34.74,12.42,97.34,40,118.24,41.34,69.85,30.84,27.13,52.93,39.58
2018-3,44.77,63.25,27.68,37.36,50.74,27.68,37.77,37.36,40.45,45.32,44.28,40.18,45.6,48.26,44.68,40.44,63.25,56.91,46.09,37.36,46.08,53.92,51.82,49.06,39.75,33.48,44.84,42.4,39.64,64.56,40.43,11.24,97.34,49.78,111.53,35.24,78.1,27.83,25.6,53.28,43.43
2018-4,37.92,54.28,26.04,32.06,37.78,28.41,31.89,32.06,36.04,39.88,50.34,42.67,40.21,33.6,34.24,31.92,53.35,49.39,40.03,32.06,40.18,54.28,39.74,43.02,42.66,26.04,38.89,32.24,31.83,58.12,22,19.41,97.34,49.28,62.87,31.33,69.97,33.97,26.62,34.16,39
2018-5,41.91,65.05,32.74,33.54,44.51,37.25,34.44,33.54,36.44,38.66,56.34,54.92,38.63,34.42,42.04,42.17,55.76,53.48,43.69,33.54,43.69,65.05,47.05,51.82,55.08,40.87,32.74,40.73,35.94,60.74,59.3,8.56,96.06,57.9,67.43,27.11,67.45,31.49,22.72,33.11,33.45
2018-6,48.51,64.07,36.05,42.42,49.95,36.05,44.04,42.42,46.79,47.79,60.68,58.46,47.17,42.32,51.77,51.27,55.85,57.25,50.91,42.42,51.05,64.07,51.37,53.26,58.48,47.6,44.21,50.71,48.8,61.5,106.16,11.96,96.06,46.23,70.2,45.18,69.11,32.57,26.55,43.15,44.8
2018-7,53.7,79.6,33.22,49.54,52.94,33.22,49.69,49.54,52.75,54.06,64.43,61.88,54,51.41,51.48,50.95,58.06,62.69,54.55,49.54,54.56,79.6,53.29,52.41,61.84,39.01,52.4,51.48,50.34,64.15,117.25,19.87,94.78,42.88,96.16,55.28,67.17,36.52,70.02,50.51,51.7
2018-8,59.43,91.66,40,56.19,60.67,40,57.72,56.19,56.27,55.38,63.83,64.33,55.48,58.4,60.83,60.45,62.86,67.71,59.05,56.19,59.03,91.66,57.99,60.76,64.29,52.27,54.53,60.83,59.36,67.62,117.25,20,94.78,41.38,93.83,50.35,70.06,52.45,58.68,58.14,51.73
2018-9,62.16,80.77,47.26,54.83,68.77,47.26,55.85,54.83,50.84,50.93,67.05,71.27,51,61.97,64.15,62.94,72.45,76.32,58.99,54.83,59.11,80.77,63.32,63.54,71.3,59.45,49.64,64.13,61.85,74.37,109.77,19.54,93.5,58.15,74.34,39.81,71.48,57.43,30.97,61.53,47.98
2018-10,61.2,76,43.99,61.66,76,51.96,56.16,53.11,49.19,46.36,71.42,65.08,46.36,65.63,64.11,64.47,73.63,73.93,55.04,53.11,55.68,71.47,59.94,59.26,65.38,61.68,43.99,64.06,61.8,72.87,63.09,9.02,92.22,73.56,75.19,44.46,78.78,55.68,34.64,72.95,43.04
2018-11,61.53,77.75,45.56,61.82,77.75,45.56,58.61,56.68,54.36,52.62,69.29,61.97,50.08,67.8,63.26,63.65,67.43,66.58,55.24,56.68,55.42,68.9,62.28,58.85,62.01,60.6,49.85,63.06,59.87,70.25,28.76,16.4,90.94,44.47,76.62,48.4,80.9,51.1,44.01,65.18,48.37
2018-12,56.39,78.31,47.91,56.35,59.65,57.26,51.75,48.13,47.91,53.05,71.26,61.81,52.32,54.9,63.61,65.07,75.49,65.15,53.62,48.13,53.62,78.31,59.63,53.43,61.87,64.16,50.81,62.46,56.49,69.82,16.28,18.23,90.94,40.94,76.09,39.87,84.63,45.25,42.45,57.7,51.56
2019-1,57.79,77.06,34.1,,,,54.4,48.55,34.1,54.81,74.02,60.93,54.83,60.12,,71.98,,66.5,55.54,,55.65,77.06,,,,73.73,53.44,,57.78,67.43,30.59,17.82,88.35,39.62,76.38,35.22,85.38,33.61,34.93,,52.86
2019-2,47.86,67.82,41.5,,,,44.34,42.09,41.5,46.47,67.82,53.09,45.96,45.82,,48.72,,56.69,46.17,,46.47,64.59,,,,47.77,44.76,,44.55,56.41,61.77,17.89,88.35,36.69,68.52,40.66,81.21,38.74,52.13,,45.08
2019-3,38.67,58.88,30.11,,,,32.48,30.11,39.2,39.42,58.88,47.99,39.33,33.28,,39.04,,51.98,39.31,,39.39,50.74,,,,37.82,38.72,,32.79,50.75,37.48,17.5,88.35,37.11,59.13,40.08,86.25,38.59,35.68,,40.15
2019-4,42.12,62.41,35.73,,,,37.35,36.33,35.73,41.46,61.34,49.55,40.73,37.43,,45.67,,52.44,42.78,,42.78,62.41,,,,44.31,39.01,,38.63,49.68,25.09,10,87.1,38.33,61.78,48.59,76.29,28.21,20,,40.12
2019-5,41.06,64.78,34.23,,,,37.23,37.19,38.02,41.6,64.78,47.56,39.16,36.58,,41.4,,49.81,43.36,,43.52,62.75,,,,40.04,34.23,,37.23,46.77,20.96,4.87,85.86,39.71,58.35,58.36,61.11,29.56,17.28,,37.42
2019-6,36.34,66.94,24.05,,,,33.26,31.97,38.25,42.72,66.94,46.38,30.19,28.76,,40.6,,47.75,43.89,,43.89,63.12,,,,38.2,24.05,,33.99,43.84,17.69,3.08,84.62,39.47,60.55,75.26,60.26,33.36,21.46,,27.48
2019-7,43.17,64.8,32.68,,,,41.3,39.01,32.68,48.09,61.04,50.58,45.13,37.02,,54.02,,51.42,48.11,,48.11,64.8,,,,54.35,34.47,,41.32,44.92,40.89,14.04,82.13,40.2,57.46,84.88,61.19,45.9,29.69,,34.55
2019-8,40.82,72.65,32.82,,,,39.12,36.22,37.15,48.24,62.91,44.19,47.94,32.82,,57.69,,48.69,48.53,,48.65,72.65,,,,59.16,36.38,,39.97,40.9,50.53,10.32,82.13,39.46,78.64,79.83,65.08,44.96,29.05,,35.49
2019-9,40.67,59.86,34.15,,,,39.05,35.14,38.81,47.94,59.86,41.39,47.92,34.93,,54.75,,50.31,47.96,,48.02,58.07,,,,59.61,34.15,,42.64,39.88,49.34,9.17,80.88,33.01,69.64,55.93,61.1,44.9,27.65,,32.36
2019-10,42.45,65.57,34.02,,,,38.08,36.31,34.02,46.85,62.22,46.37,45.54,37.94,,56.03,,51.92,46.16,,46.52,65.57,,,,56.41,37.07,,41.17,41.41,61.7,4.68,80.88,32.28,63.2,49.8,67.68,43.95,26.36,,36.47
2019-11,43.41,54.36,40.3,,,,41.27,40.3,42.63,44.94,54.36,41.47,44.93,45.16,,43.18,,47.34,43.94,,44.49,49.46,,,,41.98,41.09,,41.38,50.9,71.47,13.27,80.88,33.97,59.51,60.61,62.78,44.89,31.35,,41.43
2019-12,36.54,58.68,31.42,,,,36.64,31.42,50.11,38.38,58.68,33.22,37.76,35.84,,40.38,,42.6,38.31,,38.38,49.05,,,,40.19,35.4,,38.25,45.34,51.2,14.04,80.88,34.81,63.06,70.5,64.58,43.9,29.74,,36.16
